date	hydro_year	NDVI	LAI_MODIS	LAI_grass	LAI_tree	fg_grass	fg_tree	FaPAR
2014-10-01	2015	0.3162280582515972	0.7555828349519546	0.7555828349519546	0.3	0.0	0.01	0.4135029659377318
2014-10-02	2015	0.3162280582515972	0.7555828349519546	0.7555828349519546	0.3	0.0	0.011033603195927316	0.4135029659377318
2014-10-03	2015	0.3162280582515972	0.7555828349519546	0.7555828349519546	0.3	0.0	0.011837516792759668	0.4135029659377318
2014-10-04	2015	0.3162280582515972	0.7555828349519546	0.7555828349519546	0.3	0.0	0.012411740790497066	0.4135029659377318
2014-10-05	2015	0.3162280582515972	0.7489260971609629	0.7489260971609629	0.3	0.0	0.012756275189139505	0.4098363693788851
2014-10-06	2015	0.3162280582515972	0.7422693593699712	0.7422693593699712	0.3	0.0	0.012871119988686983	0.4061697728200384
2014-10-07	2015	0.3162280582515972	0.7356126215789796	0.7356126215789796	0.3	0.0	0.012756275189139505	0.40250317626119175
2014-10-08	2015	0.3162280582515972	0.7289558837879878	0.7289558837879878	0.3	0.0	0.012411740790497065	0.3988365797023451
2014-10-09	2015	0.3162280582515972	0.7233155796787356	0.7233155796787356	0.3	0.0	0.011837516792759666	0.39590214810400776
2014-10-10	2015	0.3162280582515972	0.7176752755694834	0.7176752755694834	0.3	0.0	0.011033603195927316	0.3929677165056704
2014-10-11	2015	0.3162280582515972	0.7120349714602312	0.7120349714602312	0.3	0.0	0.01	0.39003328490733313
2014-10-12	2015	0.3162280582515972	0.706394667350979	0.706394667350979	0.3	0.0	0.01	0.3870988533089958
2014-10-13	2015	0.3162280582515972	0.7017707969234663	0.7017707969234663	0.3	0.0	0.01	0.3848965866711679
2014-10-14	2015	0.3162280582515972	0.6971469264959536	0.6971469264959536	0.3	0.0	0.01	0.3826943200333399
2014-10-15	2015	0.3162280582515972	0.6925230560684409	0.6925230560684409	0.3	0.0	0.01	0.38049205339551195
2014-10-16	2015	0.3162280582515972	0.6878991856409282	0.6878991856409282	0.3	0.0	0.01	0.37828978675768404
2014-10-17	2015	0.322219725381153	0.684291748895155	0.684291748895155	0.3	0.0	0.01	0.37681968508036545
2014-10-18	2015	0.32821139251070874	0.6806843121493817	0.6806843121493817	0.3	0.007152977588019378	0.01	0.3753495834030469
2014-10-19	2015	0.33420305964026453	0.6770768754036086	0.6770768754036086	0.3	0.024794713974423215	0.01	0.3738794817257283
2014-10-20	2015	0.3401947267698203	0.6734694386578354	0.6734694386578354	0.3	0.042436450360827056	0.01	0.37240938004840973
2014-10-21	2015	0.34618639389937605	0.6708784355938017	0.6708784355938017	0.3	0.060078186747230734	0.01	0.3716714433316005
2014-10-22	2015	0.35217806102893184	0.668287432529768	0.668287432529768	0.3	0.07771992313363457	0.01	0.3709335066147913
2014-10-23	2015	0.35816972815848763	0.6656964294657343	0.6656964294657343	0.3	0.0953616595200384	0.01	0.37019556989798214
2014-10-24	2015	0.36416139528804337	0.6631054264017006	0.6631054264017006	0.3	0.11300339590644208	0.01	0.3694576331811729
2014-10-25	2015	0.37015306241759915	0.6615308570194064	0.6615308570194064	0.3	0.1306451322928459	0.01	0.3694518614248731
2014-10-26	2015	0.37614472954715494	0.6599562876371121	0.6599562876371121	0.3	0.14828686867924976	0.01	0.36944608966857323
2014-10-27	2015	0.38213639667671073	0.658381718254818	0.658381718254818	0.3	0.1659286050656536	0.01	0.3694403179122734
2014-10-28	2015	0.38812806380626647	0.6568071488725238	0.6568071488725238	0.3	0.18357034145205728	0.01	0.36943454615597354
2014-10-29	2015	0.39411973093582225	0.6563294375952531	0.6563294375952531	0.3	0.20121207783846112	0.01	0.37023859817249927
2014-10-30	2015	0.400111398065378	0.6558517263179824	0.6558517263179824	0.3	0.2188538142248648	0.01	0.371042650189025
2014-10-31	2015	0.4061030651949338	0.6553740150407118	0.6553740150407118	0.3	0.23649555061126862	0.01	0.3718467022055507
2014-11-01	2015	0.41209473232448957	0.6548963037634411	0.6548963037634411	0.3	0.25413728699767246	0.01	0.37265075422207644
2014-11-02	2015	0.4171363714700803	0.6544185924861704	0.6544185924861704	0.3	0.26898178133267076	0.01	0.3729434966425749
2014-11-03	2015	0.42217801061567106	0.6539408812088998	0.6539408812088998	0.3	0.283826275667669	0.01	0.37323623906307346
2014-11-04	2015	0.4272196497612618	0.6534631699316291	0.6534631699316291	0.3	0.2986707700026673	0.01	0.37352898148357194
2014-11-05	2015	0.43226128890685256	0.6529854586543584	0.6529854586543584	0.3	0.3135152643376656	0.01	0.3738217239040704
2014-11-06	2015	0.43730292805244336	0.6493770399224271	0.6493770399224271	0.3	0.328359758672664	0.01	0.3741144663245689
2014-11-07	2015	0.4423445671980341	0.6457686211904958	0.6457686211904958	0.3	0.3432042530076623	0.01	0.3744072087450674
2014-11-08	2015	0.44738620634362486	0.6421602024585644	0.6421602024585644	0.3	0.3580487473426605	0.01	0.3746999511655659
2014-11-09	2015	0.4524278454892156	0.6385517837266331	0.6385517837266331	0.3	0.3728932416776588	0.01	0.3749926935860644
2014-11-10	2015	0.45746948463480636	0.6471608935684313	0.6471608935684313	0.3	0.3877377360126571	0.01	0.3764470496302933
2014-11-11	2015	0.4625111237803971	0.6557700034102296	0.6557700034102296	0.3	0.40258223034765533	0.01	0.37790140567452224
2014-11-12	2015	0.46755276292598785	0.6643791132520278	0.6643791132520278	0.3	0.4174267246826536	0.01	0.3793557617187511
2014-11-13	2015	0.47259440207157866	0.672988223093826	0.672988223093826	0.3	0.4322712190176521	0.01	0.38081011776298
