date	hydro_year	NDVI	LAI_MODIS	LAI_grass	LAI_tree	fg_grass	fg_tree	FaPAR
2014-10-01	2015	0.8638681763407415	1.4116384638423707	1.0615958819458005	0.5623617582857302	1.0	0.9	0.34291027154663534
2014-10-02	2015	0.8638681763407415	1.4116384638423707	1.0615958819458005	0.5623617582857302	1.0	0.9	0.34291027154663534
2014-10-03	2015	0.8638681763407415	1.4116384638423707	1.0615958819458005	0.5623617582857302	1.0	0.9	0.34291027154663534
2014-10-04	2015	0.8638681763407415	1.4116384638423707	1.0615958819458005	0.5623617582857302	1.0	0.9	0.34291027154663534
2014-10-05	2015	0.8638681763407415	1.3918267947051595	1.0368312955242864	0.5623617582857302	1.0	0.9	0.35860242030696593
2014-10-06	2015	0.8638681763407415	1.3720151255679485	1.0120667091027729	0.5623617582857302	1.0	0.9	0.3742945690672965
2014-10-07	2015	0.8638681763407415	1.3522034564307372	0.9873021226812587	0.5623617582857302	1.0	0.9	0.3899867178276271
2014-10-08	2015	0.8638681763407415	1.3323917872935263	0.962537536259745	0.5623617582857302	1.0	0.9	0.4056788665879577
2014-10-09	2015	0.8638681763407415	1.3158144583206792	0.9418158750436862	0.5623617582857302	1.0	0.9	0.41954889807162554
2014-10-10	2015	0.8638681763407415	1.299237129347832	0.9210942138276271	0.5623617582857302	1.0	0.9	0.4334189295552934
2014-10-11	2015	0.8638681763407415	1.2826598003749847	0.9003725526115681	0.5623617582857302	1.0	0.9	0.44728896103896126
2014-10-12	2015	0.8638681763407415	1.2660824714021377	0.8796508913955093	0.5623617582857302	1.0	0.9	0.4611589925226291
2014-10-13	2015	0.8638681763407415	1.2527394825936546	0.8629721553849055	0.5623617582857302	1.0	0.9	0.4732069067296342
2014-10-14	2015	0.8638681763407415	1.2393964937851716	0.8462934193743017	0.5623617582857302	1.0	0.9	0.4852548209366393
2014-10-15	2015	0.8638681763407415	1.2260535049766883	0.8296146833636976	0.5623617582857302	1.0	0.9	0.4973027351436444
2014-10-16	2015	0.8638681763407415	1.2127105161682052	0.8129359473530937	0.5623617582857302	1.0	0.9	0.5093506493506496
2014-10-17	2015	0.8615973087842387	1.202601867524086	0.8003001365479446	0.5623617582857302	1.0	0.9	0.519576446280992
2014-10-18	2015	0.8593264412277357	1.1924932188799668	0.7876643257427958	0.5623617582857302	1.0	0.9	0.5298022432113343
2014-10-19	2015	0.8570555736712329	1.1823845702358478	0.7750285149376469	0.5623617582857302	1.0	0.9	0.5400280401416767
2014-10-20	2015	0.8547847061147299	1.1722759215917284	0.7623927041324977	0.5623617582857302	1.0	0.9	0.5502538370720191
2014-10-21	2015	0.852513838558227	1.1654016131119733	0.7537998185328039	0.5623617582857302	1.0	0.9	0.5586575167256987
2014-10-22	2015	0.8502429710017241	1.158527304632218	0.7452069329331097	0.5623617582857302	1.0	0.9	0.5670611963793784
2014-10-23	2015	0.8479721034452212	1.1516529961524629	0.7366140473334157	0.5623617582857302	1.0	0.9	0.5754648760330581
2014-10-24	2015	0.8457012358887184	1.1447786876727077	0.7280211617337219	0.5623617582857302	1.0	0.9	0.5838685556867377
2014-10-25	2015	0.8434303683322154	1.1411387193573166	0.723471201339483	0.5623617582857302	1.0	0.9	0.5904501180637546
2014-10-26	2015	0.8411595007757126	1.1374987510419252	0.7189212409452437	0.5623617582857302	1.0	0.9	0.5970316804407716
2014-10-27	2015	0.8388886332192096	1.1338587827265338	0.7143712805510045	0.5623617582857302	1.0	0.9	0.6036132428177885
2014-10-28	2015	0.8366177656627067	1.1302188144111427	0.7098213201567656	0.5623617582857302	1.0	0.9	0.6101948051948054
2014-10-29	2015	0.8343468981062038	1.1153406993141832	0.6912236762855662	0.5623617582857302	1.0	0.9	0.6097077922077924
2014-10-30	2015	0.8320760305497009	1.1004625842172238	0.6726260324143669	0.5623617582857302	1.0	0.9	0.6092207792207793
2014-10-31	2015	0.829805162993198	1.0855844691202643	0.6540283885431676	0.5623617582857302	1.0	0.9	0.6087337662337663
2014-11-01	2015	0.8275342954366951	1.0707063540233048	0.6354307446719683	0.5623617582857302	1.0	0.9	0.6082467532467533
2014-11-02	2015	0.8254895699627666	1.0714215254147033	0.6363247089112163	0.5623617582857302	1.0	0.9	0.6120660944098518
2014-11-03	2015	0.823444844488838	1.0721366968061015	0.637218673150464	0.5623617582857302	1.0	0.9	0.6158854355729504
2014-11-04	2015	0.8214001190149095	1.0728518681974997	0.6381126373897118	0.5623617582857302	1.0	0.9	0.619704776736049
2014-11-05	2015	0.819355393540981	1.073567039588898	0.6390066016289598	0.5623617582857302	1.0	0.9	0.6235241178991475
2014-11-06	2015	0.8173106680670525	1.0773716184010027	0.6437623251440906	0.5623617582857302	1.0	0.9	0.6239848763815479
2014-11-07	2015	0.815265942593124	1.0811761972131075	0.6485180486592216	0.5623617582857302	1.0	0.9	0.6244456348639481
2014-11-08	2015	0.8132212171191955	1.0849807760252121	0.6532737721743523	0.5623617582857302	1.0	0.9	0.6249063933463485
2014-11-09	2015	0.811176491645267	1.088785354837317	0.6580294956894834	0.5623617582857302	1.0	0.9	0.6253671518287488
2014-11-10	2015	0.8091317661713384	1.0925899336494216	0.6627852192046142	0.5623617582857302	1.0	0.9	0.6258279103111491
2014-11-11	2015	0.8070870406974099	1.0963945124615262	0.667540942719745	0.5623617582857302	1.0	0.9	0.6262886687935494
2014-11-12	2015	0.8050423152234814	1.100199091273631	0.6722966662348759	0.5623617582857302	1.0	0.9	0.6267494272759497
