date	hydro_year	NDVI	LAI_MODIS	LAI_grass	LAI_tree	fg_grass	fg_tree
2018-01-02	2018	0.522151284495406	0.30321754455515953	0.1	0.31554128868652814	0.5538509173404904	0.9
2018-01-03	2018	0.5241599043915514	0.3069348397277176	0.1	0.31554128868652814	0.5597139202104328	0.9
2018-01-04	2018	0.5261685242876967	0.31065213490027577	0.1	0.31554128868652814	0.5655769230803752	0.9
2018-01-05	2018	0.528177144183842	0.31436943007283386	0.1	0.31554128868652814	0.5714399259503176	0.9
2018-01-06	2018	0.5301857640799873	0.31956176279035464	0.1	0.31554128868652814	0.57730292882026	0.9
2018-01-07	2018	0.5321943839761326	0.3247540955078754	0.1	0.31554128868652814	0.5831659316902024	0.9
2018-01-08	2018	0.5342030038722779	0.32994642822539616	0.1	0.31554128868652814	0.5890289345601448	0.9
2018-01-09	2018	0.5362116237684231	0.33513876094291695	0.1	0.31554128868652814	0.5948919374300868	0.9
2018-01-10	2018	0.5382202436645684	0.3390022074312633	0.1	0.31554128868652814	0.6007549403000293	0.9
2018-01-11	2018	0.5402288635607138	0.3428656539196096	0.1	0.31554128868652814	0.6066179431699716	0.9
2018-01-12	2018	0.5422374834568591	0.3467291004079559	0.1	0.31554128868652814	0.612480946039914	0.9
2018-01-13	2018	0.5442461033530044	0.35059254689630226	0.1	0.31554128868652814	0.6183439489098564	0.9
2018-01-14	2018	0.5462547232491497	0.3579097250529637	0.1	0.31554128868652814	0.6242069517797988	0.9
2018-01-15	2018	0.548263343145295	0.36522690320962514	0.1	0.31554128868652814	0.6300699546497412	0.9
2018-01-16	2018	0.5502719630414403	0.37254408136628664	0.1	0.31554128868652814	0.6359329575196836	0.9
2018-01-17	2018	0.5522805829375856	0.3798612595229481	0.1	0.31554128868652814	0.641795960389626	0.9
2018-01-18	2018	0.5548125262017013	0.3847738866256928	0.1	0.31554128868652814	0.6491865028474249	0.9
2018-01-19	2018	0.557344469465817	0.38968651372843754	0.1	0.31554128868652814	0.6565770453052236	0.9
2018-01-20	2018	0.5598764127299327	0.3945991408311823	0.1	0.31554128868652814	0.6639675877630228	0.9
2018-01-21	2018	0.5624083559940484	0.399511767933927	0.1	0.31554128868652814	0.6713581302208216	0.9
2018-01-22	2018	0.564940299258164	0.4044243950366717	0.1	0.31554128868652814	0.6787486726786205	0.9
2018-01-23	2018	0.5674722425222798	0.4093370221394165	0.1	0.31554128868652814	0.6861392151364196	0.9
2018-01-24	2018	0.5700041857863954	0.41424964924216123	0.1	0.31554128868652814	0.6935297575942184	0.9
2018-01-25	2018	0.5725361290505111	0.41916227634490594	0.1036209876583778	0.31554128868652814	0.7009203000520172	0.9
2018-01-26	2018	0.5750680723146268	0.41995916214401524	0.1044178734574871	0.31554128868652814	0.708310842509816	0.9
2018-01-27	2018	0.5776000155787424	0.4207560479431246	0.10521475925659646	0.31554128868652814	0.7157013849676149	0.9
2018-01-28	2018	0.5801319588428582	0.4215529337422339	0.10601164505570576	0.31554128868652814	0.7230919274254141	0.9
2018-01-29	2018	0.5826639021069738	0.42234981954134326	0.10680853085481512	0.31554128868652814	0.7304824698832129	0.9
2018-01-30	2018	0.5851958453710895	0.4231467053404526	0.10760541665392448	0.31554128868652814	0.7378730123410117	0.9
2018-01-31	2018	0.5877277886352053	0.4239435911395619	0.10840230245303378	0.31554128868652814	0.7452635547988108	0.9
2018-02-01	2018	0.5902597318993209	0.42474047693867123	0.10919918825214309	0.31554128868652814	0.7526540972566096	0.9
2018-02-02	2018	0.5927916751634366	0.4255373627377806	0.10999607405125245	0.31554128868652814	0.7600446397144085	0.9
2018-02-03	2018	0.5945009281621733	0.4404542610682195	0.12491297238169136	0.31554128868652814	0.7650338142497611	0.9
2018-02-04	2018	0.5962101811609101	0.45537115939865846	0.13982987071213032	0.31554128868652814	0.7700229887851141	0.9
2018-02-05	2018	0.5979194341596468	0.47028805772909743	0.1547467690425693	0.31554128868652814	0.7750121633204667	0.9
2018-02-06	2018	0.5996286871583836	0.48520495605953634	0.1696636673730082	0.31554128868652814	0.7800013378558197	0.9
2018-02-07	2018	0.6013379401571203	0.49567038239642247	0.18012909370989433	0.31554128868652814	0.7849905123911725	0.9
2018-02-08	2018	0.6030471931558571	0.5061358087333087	0.1905945200467805	0.31554128868652814	0.7899796869265254	0.9
2018-02-09	2018	0.6047564461545938	0.5166012350701947	0.2010599463836666	0.31554128868652814	0.7949688614618781	0.9
2018-02-10	2018	0.6064656991533306	0.5270666614070809	0.21152537272055277	0.31554128868652814	0.799958035997231	0.9
2018-02-11	2018	0.6081749521520673	0.5606859819061265	0.24514469321959836	0.31554128868652814	0.8049472105325837	0.9
2018-02-12	2018	0.609884205150804	0.5943053024051721	0.27876401371864395	0.31554128868652814	0.8099363850679364	0.9
2018-02-13	2018	0.6115934581495408	0.6279246229042177	0.31238333421768955	0.31554128868652814	0.8149255596032894	0.9
2018-02-14	2018	0.6133027111482775	0.6615439434032633	0.34600265471673514	0.31554128868652814	0.819914734138642	0.9
2018-02-15	2018	0.6150119641470143	0.6871620339335515	0.3716207452470233	0.31554128868652814	0.824903908673995	0.9
2018-02-16	2018	0.616721217145751	0.7127801244638396	0.3972388357773115	0.31554128868652814	0.8298930832093477	0.9
2018-02-17	2018	0.6184304701444878	0.7383982149941277	0.4228569263075996	0.31554128868652814	0.8348822577447007	0.9
2018-02-18	2018	0.6201397231432245	0.7640163055244159	0.44847501683788776	0.31554128868652814	0.8398714322800533	0.9
2018-02-19	2018	0.6214860088284958	0.7948912923967218	0.4793500037101937	0.31554128868652814	0.8438011338884341	0.9
2018-02-20	2018	0.6228322945137672	0.8257662792690278	0.5102249905824996	0.31554128868652814	0.8477308354968153	0.9
2018-02-21	2018	0.6241785801990385	0.8566412661413337	0.5410999774548055	0.31554128868652814	0.8516605371051961	0.9
2018-02-22	2018	0.6255248658843099	0.8875162530136397	0.5719749643271115	0.31554128868652814	0.8555902387135772	0.9
2018-02-23	2018	0.6268711515695812	0.8988944844703192	0.583353195783791	0.31554128868652814	0.859519940321958	0.9
2018-02-24	2018	0.6282174372548526	0.9102727159269985	0.5947314272404705	0.31554128868652814	0.8634496419303391	0.9
2018-02-25	2018	0.6295637229401239	0.921650947383678	0.6061096586971499	0.31554128868652814	0.8673793435387199	0.9
2018-02-26	2018	0.6309100086253951	0.9330291788403574	0.6174878901538292	0.31554128868652814	0.8713090451471007	0.9
2018-02-27	2018	0.6322562943106665	0.9444074102970369	0.6288661216105087	0.31554128868652814	0.8752387467554819	0.9
2018-02-28	2018	0.6336025799959378	0.9557856417537163	0.6402443530671882	0.31554128868652814	0.8791684483638627	0.9
2018-03-01	2018	0.6349488656812092	0.9671638732103958	0.6516225845238677	0.31554128868652814	0.8830981499722438	0.9
2018-03-02	2018	0.6362951513664805	0.9785421046670751	0.6630008159805469	0.31554128868652814	0.8870278515806246	0.9
2018-03-03	2018	0.6376414370517519	0.9899203361237546	0.6743790474372264	0.31554128868652814	0.8909575531890057	0.9
2018-03-04	2018	0.6389877227370232	1.001298567580434	0.6857572788939059	0.31554128868652814	0.8948872547973865	0.9
2018-03-05	2018	0.6403340084222946	1.0126767990371135	0.6971355103505854	0.31554128868652814	0.8988169564057676	0.9
2018-03-06	2018	0.6416802941075659	1.024055030493793	0.7085137418072649	0.31554128868652814	0.9027466580141484	0.9
2018-03-07	2018	0.6437626847571688	1.0354332619504725	0.7198919732639444	0.31554128868652814	0.9088249918882643	0.9
2018-03-08	2018	0.6458450754067716	1.0468114934071517	0.7312702047206237	0.31554128868652814	0.9149033257623798	0.9
2018-03-09	2018	0.6479274660563745	1.0581897248638312	0.7426484361773031	0.31554128868652814	0.9209816596364957	0.9
2018-03-10	2018	0.6500098567059773	1.0695679563205107	0.7540266676339826	0.31554128868652814	0.9270599935106112	0.9
2018-03-11	2018	0.6520922473555802	1.1171387393634375	0.8015974506769095	0.31554128868652814	0.933138327384727	0.9
2018-03-12	2018	0.6541746380051832	1.1647095224063644	0.8491682337198363	0.31554128868652814	0.9392166612588428	0.9
2018-03-13	2018	0.656257028654786	1.2122803054492912	0.8967390167627631	0.31554128868652814	0.9452949951329583	0.9
2018-03-14	2018	0.6583394193043889	1.259851088492218	0.94430979980569	0.31554128868652814	0.9513733290070743	0.9
2018-03-15	2018	0.6604218099539918	1.2842992338420796	0.9687579451555515	0.31554128868652814	0.9574516628811901	0.9
2018-03-16	2018	0.6625042006035946	1.308747379191941	0.993206090505413	0.31554128868652814	0.9635299967553056	0.9
2018-03-17	2018	0.6645865912531975	1.3331955245418028	1.0176542358552747	0.31554128868652814	0.9696083306294214	0.9
2018-03-18	2018	0.6666689819028004	1.3576436698916643	1.0421023812051362	0.31554128868652814	0.9756866645035372	0.9
2018-03-19	2018	0.6687513725524032	1.3843903917576315	1.0688491030711034	0.31554128868652814	0.9817649983776527	0.9
2018-03-20	2018	0.6708337632020062	1.4111371136235986	1.0955958249370705	0.31554128868652814	0.9878433322517687	0.9
2018-03-21	2018	0.672916153851609	1.437883835489566	1.122342546803038	0.31554128868652814	0.9939216661258842	0.9
2018-03-22	2018	0.6749985445012119	1.4646305573555332	1.149089268669005	0.31554128868652814	1.0	0.9
2018-03-23	2018	0.6746812661337823	1.4797527675711133	1.1642114788845852	0.31554128868652814	0.9990738894987647	0.9
2018-03-24	2018	0.6743639877663526	1.4948749777866932	1.1793336891001651	0.31554128868652814	0.9981477789975293	0.9
2018-03-25	2018	0.6740467093989231	1.5099971880022733	1.1944558993157453	0.31554128868652814	0.997221668496294	0.9
2018-03-26	2018	0.6737294310314934	1.5251193982178535	1.2095781095313254	0.31554128868652814	0.9962955579950585	0.9
2018-03-27	2018	0.6734121526640638	1.5408566485692614	1.2253153598827333	0.31554128868652814	0.9953694474938233	0.9
2018-03-28	2018	0.6730948742966342	1.5565938989206693	1.2410526102341413	0.31554128868652814	0.9944433369925877	0.9
2018-03-29	2018	0.6727775959292046	1.572331149272077	1.256789860585549	0.31554128868652814	0.9935172264913525	0.9
2018-03-30	2018	0.6724603175617749	1.588068399623485	1.272527110936957	0.31554128868652814	0.992591115990117	0.9
2018-03-31	2018	0.6721430391943454	1.5939234554010522	1.278382166714524	0.31554128868652814	0.9916650054888817	0.9
2018-04-01	2018	0.6718257608269158	1.5997785111786191	1.284237222492091	0.31554128868652814	0.9907388949876466	0.9
2018-04-02	2018	0.6715084824594861	1.6056335669561863	1.2900922782696582	0.31554128868652814	0.989812784486411	0.9
2018-04-03	2018	0.6711912040920566	1.6114886227337535	1.2959473340472254	0.31554128868652814	0.9888866739851758	0.9
2018-04-04	2018	0.6708739257246269	1.6169972007548252	1.3014559120682971	0.31554128868652814	0.9879605634839402	0.9
2018-04-05	2018	0.6705566473571973	1.6225057787758972	1.306964490089369	0.31554128868652814	0.987034452982705	0.9
2018-04-06	2018	0.6702393689897677	1.6280143567969692	1.312473068110441	0.31554128868652814	0.9861083424814695	0.9
2018-04-07	2018	0.6699220906223381	1.633522934818041	1.3179816461315128	0.31554128868652814	0.9851822319802342	0.9
2018-04-08	2018	0.6687381269462878	1.6549934671082045	1.3394521784216764	0.31554128868652814	0.9817263354993162	0.9
2018-04-09	2018	0.6675541632702373	1.676463999398368	1.36092271071184	0.31554128868652814	0.9782704390183977	0.9
2018-04-10	2018	0.666370199594187	1.6979345316885317	1.3823932430020036	0.31554128868652814	0.9748145425374797	0.9
2018-04-11	2018	0.6651862359181366	1.7194050639786953	1.4038637752921672	0.31554128868652814	0.9713586460565615	0.9
2018-04-12	2018	0.6640022722420862	1.7289613647710145	1.4134200760844864	0.31554128868652814	0.967902749575643	0.9
2018-04-13	2018	0.6628183085660359	1.7385176655633336	1.4229763768768056	0.31554128868652814	0.964446853094725	0.9
2018-04-14	2018	0.6616343448899854	1.7480739663556526	1.4325326776691245	0.31554128868652814	0.9609909566138065	0.9
2018-04-15	2018	0.6604503812139351	1.7576302671479718	1.4420889784614437	0.31554128868652814	0.9575350601328885	0.9
2018-04-16	2018	0.6592664175378847	1.77156378382282	1.456022495136292	0.31554128868652814	0.9540791636519703	0.9
2018-04-17	2018	0.6580824538618343	1.7854973004976682	1.46995601181114	0.31554128868652814	0.9506232671710519	0.9
2018-04-18	2018	0.656898490185784	1.7994308171725164	1.4838895284859883	0.31554128868652814	0.9471673706901338	0.9
2018-04-19	2018	0.6557145265097335	1.8133643338473648	1.4978230451608368	0.31554128868652814	0.9437114742092154	0.9
2018-04-20	2018	0.6545305628336832	1.827297850522213	1.511756561835685	0.31554128868652814	0.9402555777282973	0.9
2018-04-21	2018	0.6533465991576328	1.8412313671970613	1.5256900785105332	0.31554128868652814	0.9367996812473792	0.9
2018-04-22	2018	0.6521626354815824	1.8551648838719095	1.5396235951853814	0.31554128868652814	0.9333437847664607	0.9
2018-04-23	2018	0.650978671805532	1.8690984005467577	1.5535571118602296	0.31554128868652814	0.9298878882855427	0.9
2018-04-24	2018	0.6490182257280696	1.871140930304153	1.555599641617625	0.31554128868652814	0.9241655009883801	0.9
2018-04-25	2018	0.647057779650607	1.8731834600615487	1.5576421713750206	0.31554128868652814	0.9184431136912173	0.9
2018-04-26	2018	0.6450973335731445	1.875225989818944	1.559684701132416	0.31554128868652814	0.9127207263940548	0.9
2018-04-27	2018	0.643136887495682	1.8772685195763397	1.5617272308898116	0.31554128868652814	0.9069983390968922	0.9
2018-04-28	2018	0.6411764414182194	1.879311049333735	1.563769760647207	0.31554128868652814	0.9012759517997294	0.9
2018-04-29	2018	0.6392159953407569	1.8813535790911304	1.5658122904046023	0.31554128868652814	0.8955535645025668	0.9
2018-04-30	2018	0.6372555492632944	1.883396108848526	1.567854820161998	0.31554128868652814	0.8898311772054043	0.9
2018-05-01	2018	0.6352951031858318	1.8854386386059214	1.5698973499193933	0.31554128868652814	0.8841087899082415	0.9
2018-05-02	2018	0.6333346571083693	1.875502705978874	1.559961417292346	0.31554128868652814	0.8783864026110789	0.9
2018-05-03	2018	0.6313742110309069	1.8655667733518264	1.5500254846652983	0.31554128868652814	0.8726640153139164	0.9
2018-05-04	2018	0.6294137649534444	1.855630840724779	1.540089552038251	0.31554128868652814	0.8669416280167539	0.9
2018-05-05	2018	0.6274533188759818	1.8456949080977316	1.5301536194112035	0.31554128868652814	0.861219240719591	0.9
2018-05-06	2018	0.6254928727985193	1.8242558259866146	1.5087145373000865	0.31554128868652814	0.8554968534224284	0.9
2018-05-07	2018	0.6235324267210568	1.8028167438754978	1.4872754551889698	0.31554128868652814	0.849774466125266	0.9
2018-05-08	2018	0.6215719806435942	1.781377661764381	1.465836373077853	0.31554128868652814	0.8440520788281031	0.9
2018-05-09	2018	0.6196115345661317	1.759938579653264	1.444397290966736	0.31554128868652814	0.8383296915309406	0.9
2018-05-10	2018	0.6157020160064977	1.7183734190910198	1.4028321304044917	0.31554128868652814	0.8269181155631751	0.9
2018-05-11	2018	0.6117924974468637	1.6768082585287756	1.3612669698422475	0.31554128868652814	0.8155065395954099	0.9
2018-05-12	2018	0.6078829788872296	1.6352430979665316	1.3197018092800035	0.31554128868652814	0.8040949636276443	0.9
2018-05-13	2018	0.6039734603275956	1.5936779374042873	1.2781366487177592	0.31554128868652814	0.7926833876598788	0.9
2018-05-14	2018	0.6000639417679616	1.5643097623976199	1.2487684737110918	0.31554128868652814	0.7812718116921136	0.9
2018-05-15	2018	0.5961544232083276	1.5349415873909527	1.2194002987044246	0.31554128868652814	0.769860235724348	0.9
2018-05-16	2018	0.5922449046486935	1.5055734123842852	1.1900321236977571	0.31554128868652814	0.7584486597565825	0.9
2018-05-17	2018	0.5883353860890594	1.4762052373776178	1.1606639486910897	0.31554128868652814	0.747037083788817	0.9
2018-05-18	2018	0.5844258675294255	1.4184422023705798	1.1029009136840517	0.31554128868652814	0.7356255078210517	0.9
2018-05-19	2018	0.5805163489697914	1.3606791673635419	1.0451378786770138	0.31554128868652814	0.7242139318532862	0.9
